Unnamed: 0,Date,Open,High,Low,Close,Volume
3811,2024-09-18 12:00:00,1131.9,1131.9,1123.85,1125.4,149400
3812,2024-09-18 12:15:00,1126.15,1127.0,1119.7,1123.95,192600
3813,2024-09-18 12:30:00,1123.35,1124.1,1116.25,1116.25,86400
3814,2024-09-18 12:45:00,1116.4,1116.9,1113.2,1114.0,157500
3815,2024-09-18 13:00:00,1114.05,1115.8,1109.85,1109.85,161100
3816,2024-09-18 13:15:00,1109.7,1110.5,1106.55,1107.9,151200
3817,2024-09-18 13:30:00,1107.55,1109.4,1102.0,1109.4,151200
3818,2024-09-18 13:45:00,1109.6,1112.7,1106.8,1108.5,114300
3819,2024-09-18 14:00:00,1108.1,1109.55,1106.45,1106.6,68400
3820,2024-09-18 14:15:00,1105.9,1110.35,1105.65,1106.75,45000
3821,2024-09-18 14:30:00,1107.3,1112.2,1107.25,1109.9,83700
3822,2024-09-18 14:45:00,1109.65,1113.55,1109.65,1113.55,59400
3823,2024-09-18 15:00:00,1113.4,1118.75,1113.4,1116.9,58500
3824,2024-09-18 15:15:00,1116.25,1117.5,1115.55,1116.05,52200
3825,2024-09-19 09:15:00,1123.35,1123.35,1110.7,1110.95,230400
3826,2024-09-19 09:30:00,1111.4,1112.35,1102.85,1107.6,202500
3827,2024-09-19 09:45:00,1107.9,1108.3,1096.75,1097.55,214200
3828,2024-09-19 10:00:00,1098.3,1102.8,1094.35,1095.7,175500
3829,2024-09-19 10:15:00,1095.2,1098.6,1090.55,1091.75,193500
3830,2024-09-19 10:30:00,1091.2,1096.25,1087.7,1087.7,150300
3831,2024-09-19 10:45:00,1087.85,1094.2,1082.4,1090.25,209700
3832,2024-09-19 11:00:00,1089.85,1095.5,1089.8,1094.8,105300
3833,2024-09-19 11:15:00,1094.4,1095.3,1083.1,1084.55,146700
3834,2024-09-19 11:30:00,1083.45,1086.85,1080.4,1081.7,97200
3835,2024-09-19 11:45:00,1081.9,1085.35,1079.25,1081.9,106200
3836,2024-09-19 12:00:00,1080.55,1084.7,1080.25,1082.6,70200
3837,2024-09-19 12:15:00,1082.7,1086.8,1080.0,1085.85,71100
3838,2024-09-19 12:30:00,1086.9,1088.1,1084.35,1086.15,47700
3839,2024-09-19 12:45:00,1086.5,1086.85,1084.55,1084.6,54900
3840,2024-09-19 13:00:00,1082.5,1084.75,1078.7,1079.3,73800
3841,2024-09-19 13:15:00,1079.7,1082.5,1079.5,1080.25,54000
3842,2024-09-19 13:30:00,1080.7,1081.35,1078.85,1081.0,54000
3843,2024-09-19 13:45:00,1081.0,1081.6,1078.7,1078.7,41400
3844,2024-09-19 14:00:00,1078.35,1081.05,1078.0,1079.85,47700
3845,2024-09-19 14:15:00,1080.6,1083.15,1078.9,1082.95,54900
3846,2024-09-19 14:30:00,1083.05,1084.65,1081.1,1083.5,52200
3847,2024-09-19 14:45:00,1083.6,1086.25,1082.35,1085.35,61200
3848,2024-09-19 15:00:00,1085.7,1092.15,1085.25,1091.1,77400
3849,2024-09-19 15:15:00,1091.15,1093.25,1088.0,1091.15,133200
3850,2024-09-20 09:15:00,1096.2,1101.4,1082.2,1099.55,71100
3851,2024-09-20 09:30:00,1097.3,1099.55,1089.6,1089.6,27000
3852,2024-09-20 09:45:00,1088.8,1091.05,1087.85,1089.1,20700
3853,2024-09-20 10:00:00,1087.75,1089.05,1082.8,1083.5,31500
3854,2024-09-20 10:15:00,1082.45,1085.85,1081.45,1084.75,22500
3855,2024-09-20 10:30:00,1085.0,1087.2,1085.0,1086.35,24300
3856,2024-09-20 10:45:00,1085.7,1091.8,1085.0,1091.65,37800
3857,2024-09-20 11:00:00,1091.25,1091.95,1086.0,1086.0,22500
3858,2024-09-20 11:15:00,1086.0,1087.0,1083.95,1084.4,18900
3859,2024-09-20 11:30:00,1084.4,1085.65,1082.95,1084.6,26100
3860,2024-09-20 11:45:00,1085.0,1087.55,1085.0,1087.45,19800
3861,2024-09-20 12:00:00,1086.05,1093.45,1086.05,1092.65,36900
3862,2024-09-20 12:15:00,1091.25,1092.15,1090.1,1091.2,18900
3863,2024-09-20 12:30:00,1092.1,1092.15,1091.1,1091.15,21600
3864,2024-09-20 12:45:00,1091.35,1091.95,1090.2,1090.2,21600
3865,2024-09-20 13:00:00,1090.25,1091.15,1090.15,1091.15,15300
3866,2024-09-20 13:15:00,1091.25,1093.25,1091.15,1091.2,19800
3867,2024-09-20 13:30:00,1091.15,1092.25,1087.6,1090.1,23400
3868,2024-09-20 13:45:00,1089.2,1091.35,1088.05,1088.05,18000
3869,2024-09-20 14:00:00,1088.4,1089.9,1088.4,1089.75,9900
3870,2024-09-20 14:15:00,1090.0,1090.1,1087.65,1089.0,19800
3871,2024-09-20 14:30:00,1088.1,1091.6,1088.05,1089.1,27900
3872,2024-09-20 14:45:00,1089.3,1090.8,1087.4,1087.4,28800
3873,2024-09-20 15:00:00,1087.7,1091.55,1087.15,1089.1,40500
3874,2024-09-20 15:15:00,1089.25,1091.15,1088.15,1090.5,33300
3875,2024-09-23 09:15:00,1093.8,1097.05,1089.1,1093.9,46800
3876,2024-09-23 09:30:00,1092.8,1094.4,1090.85,1093.3,24300
3877,2024-09-23 09:45:00,1093.25,1093.25,1089.65,1089.65,27900
3878,2024-09-23 10:00:00,1090.7,1092.95,1089.75,1090.15,21600
3879,2024-09-23 10:15:00,1090.85,1090.85,1087.05,1087.75,17100
3880,2024-09-23 10:30:00,1087.8,1088.2,1085.45,1086.0,17100
3881,2024-09-23 10:45:00,1085.75,1087.45,1085.0,1085.2,22500
3882,2024-09-23 11:00:00,1084.9,1087.0,1084.9,1085.15,12600
3883,2024-09-23 11:15:00,1085.3,1088.0,1082.1,1082.4,17100
3884,2024-09-23 11:30:00,1083.05,1085.05,1082.15,1083.9,25200
3885,2024-09-23 11:45:00,1083.9,1089.7,1083.9,1089.2,19800
3886,2024-09-23 12:00:00,1088.1,1089.2,1086.3,1086.8,22500
3887,2024-09-23 12:15:00,1087.9,1088.05,1086.25,1087.4,10800
3888,2024-09-23 12:30:00,1086.55,1090.15,1086.55,1088.8,18000
3889,2024-09-23 12:45:00,1088.8,1090.0,1088.5,1089.15,15300
3890,2024-09-23 13:00:00,1089.1,1089.75,1088.35,1089.75,12600
3891,2024-09-23 13:15:00,1089.85,1089.85,1087.7,1088.05,6300
3892,2024-09-23 13:30:00,1088.05,1090.45,1088.05,1090.45,11700
3893,2024-09-23 13:45:00,1090.1,1090.6,1089.25,1089.35,13500
3894,2024-09-23 14:00:00,1090.1,1090.15,1089.4,1089.7,10800
3895,2024-09-23 14:15:00,1089.7,1091.35,1089.45,1089.6,14400
3896,2024-09-23 14:30:00,1089.6,1090.2,1089.25,1089.3,11700
3897,2024-09-23 14:45:00,1089.3,1090.8,1089.25,1089.85,23400
3898,2024-09-23 15:00:00,1090.1,1091.1,1090.1,1090.35,24300
3899,2024-09-23 15:15:00,1089.8,1090.7,1088.15,1089.1,52200
3900,2024-09-24 09:15:00,1090.45,1092.15,1088.5,1090.95,37800
3901,2024-09-24 09:30:00,1089.7,1093.2,1089.1,1089.6,36900
3902,2024-09-24 09:45:00,1090.0,1090.0,1086.0,1086.65,54900
3903,2024-09-24 10:00:00,1086.1,1089.7,1086.0,1089.2,45900
3904,2024-09-24 10:15:00,1089.05,1090.45,1088.15,1090.4,25200
3905,2024-09-24 10:30:00,1089.5,1090.05,1089.05,1089.1,31500
3906,2024-09-24 10:45:00,1089.95,1090.1,1088.1,1089.2,27900
3907,2024-09-24 11:00:00,1089.2,1089.95,1087.4,1088.05,39600
3908,2024-09-24 11:15:00,1087.9,1088.85,1087.15,1087.5,27000
3909,2024-09-24 11:30:00,1087.4,1088.8,1087.1,1087.25,36900
3910,2024-09-24 11:45:00,1087.55,1088.65,1087.05,1087.7,29700
3911,2024-09-24 12:00:00,1087.5,1090.1,1087.3,1089.15,20700
3912,2024-09-24 12:15:00,1089.5,1090.65,1088.9,1089.85,19800
3913,2024-09-24 12:30:00,1089.7,1089.95,1089.25,1089.5,21600
3914,2024-09-24 12:45:00,1089.2,1089.7,1088.15,1088.9,17100
3915,2024-09-24 13:00:00,1088.8,1089.1,1088.45,1089.0,15300
